age;sex;Medu;Fedu;reason;absences;G1;G3
16;F;4;4;course;6;16;17
15;F;1;2;course;3;11;13
16;F;2;3;course;2;15;15
16;M;1;2;course;0;10;11
16;F;2;2;course;4;9;11
16;F;1;2;course;0;10;8
16;F;1;2;course;3;9;8
15;F;2;1;home;0;9;9
16;F;1;1;course;0;13;15
17;M;1;2;reputation;4;10;11
16;F;1;1;home;0;13;13
16;F;1;1;other;2;10;10
15;F;1;1;home;1;11;11
16;F;1;1;other;0;13;14
15;F;1;1;course;0;13;14
15;F;2;2;other;2;14;12
16;M;1;1;other;6;11;11
18;F;1;2;course;9;9;8
15;M;3;1;home;0;10;11
16;F;2;2;course;1;14;14
15;M;2;2;reputation;1;13;13
16;M;4;4;course;0;13;13
15;F;3;3;reputation;4;13;12
16;F;2;2;course;2;12;12
16;F;2;2;home;0;14;16
16;M;2;1;course;4;10;10
15;M;1;3;reputation;2;10;11
15;F;2;2;course;0;12;14
16;F;2;1;home;2;10;8
15;M;3;3;course;11;12;11
16;F;1;1;course;0;7;8
17;F;2;2;course;4;9;10
19;F;2;3;course;0;9;10
17;F;2;1;course;2;9;11
15;F;1;1;course;0;9;9
16;F;2;2;course;1;9;11
16;F;2;2;home;6;7;8
17;F;2;2;course;0;11;11
16;F;2;2;course;1;9;10
18;F;3;2;course;6;7;10
19;F;1;1;course;6;7;9
18;M;1;1;home;0;8;10
18;F;1;1;course;4;9;10
19;F;1;1;course;12;7;9
16;F;2;2;course;2;8;10
17;F;0;1;course;5;9;10
16;F;1;2;course;0;8;9
16;F;3;3;reputation;0;14;13
16;F;1;1;home;2;14;14
17;M;3;3;course;0;10;10
16;F;2;1;course;0;14;14
16;F;2;2;course;0;17;16
17;M;1;2;course;12;6;7
16;M;4;3;course;8;14;13
17;M;2;2;other;2;10;9
16;F;1;1;course;0;14;14
19;F;2;2;home;0;12;13
17;F;1;1;reputation;0;11;11
20;F;3;3;other;8;11;10
17;F;1;1;course;0;11;10
17;M;2;2;course;0;10;9
16;F;1;1;course;0;16;18
17;F;2;2;reputation;0;15;17
17;F;1;0;other;1;11;10
18;F;1;1;other;9;7;7
16;F;3;1;course;0;8;8
16;F;3;2;course;2;7;7
18;F;1;1;reputation;8;9;10
16;F;4;4;reputation;0;14;16
16;F;1;2;reputation;0;14;15
18;F;2;4;reputation;8;8;8
16;M;2;1;reputation;0;8;0
16;F;1;1;other;6;6;8
16;F;2;3;other;0;8;10
16;F;4;4;course;4;8;8
18;M;4;4;home;2;5;6
16;F;3;4;other;2;7;8
17;M;4;4;home;0;15;16
17;F;4;1;other;1;13;14
16;M;2;2;other;0;10;10
17;F;2;2;other;5;9;9
16;F;4;4;other;1;11;11
17;M;3;3;home;8;7;9
17;M;1;1;other;0;10;10
16;M;2;1;other;2;9;8
16;F;2;1;other;0;14;16
16;M;4;4;other;0;11;12
15;M;1;2;course;11;9;10
15;M;2;2;reputation;8;13;14
15;M;2;1;course;11;12;12
16;F;2;2;course;2;11;11
16;F;4;1;home;8;9;10
17;F;3;2;home;5;9;11
17;F;2;2;other;0;11;11
16;F;4;4;course;1;10;12
17;M;4;4;course;2;9;8
17;M;1;3;course;2;12;12
17;M;3;4;other;8;8;8
17;F;4;4;course;0;13;16
16;M;4;1;other;0;10;11
17;F;1;1;other;2;11;11
17;F;4;2;course;0;17;18
16;M;2;2;course;0;12;13
17;M;3;2;other;0;13;13
19;M;1;1;other;2;9;10
17;M;1;0;home;4;11;12
17;F;1;1;course;3;10;10
16;F;1;2;home;5;13;13
16;M;1;2;course;4;9;11
17;F;3;1;course;2;7;10
17;M;2;2;course;0;8;10
18;M;1;0;course;0;12;13
17;M;1;1;course;0;10;10
18;M;1;1;course;6;10;10
16;F;2;2;course;0;11;12
17;M;2;2;course;0;7;0
16;M;3;2;course;2;11;10
16;M;1;1;course;0;10;9
18;M;1;1;course;2;9;9
18;M;3;2;course;0;4;0
19;M;3;2;course;4;6;9
18;M;3;3;course;9;4;8
16;M;2;2;course;6;7;8
19;M;2;1;course;4;8;9
16;F;3;2;course;8;5;7
17;F;1;1;course;9;7;10
20;M;1;1;course;12;8;10
18;F;4;3;course;8;10;10
18;M;3;2;course;8;9;11
19;M;1;1;home;8;10;11
17;M;3;3;course;4;8;10
18;M;1;3;course;0;9;9
19;M;1;1;home;4;8;10
18;F;1;2;course;2;6;8
19;F;1;1;course;0;6;7
18;F;2;2;other;0;8;0
17;F;0;0;course;0;10;11
17;F;3;1;course;5;8;8
17;F;4;2;home;0;8;0
18;F;2;2;course;3;7;8
17;F;4;1;course;0;8;9
17;F;1;2;course;0;7;10
18;F;1;1;course;3;7;7
18;F;2;2;reputation;2;12;14
17;F;3;3;course;0;11;13
18;F;1;2;reputation;0;12;14
18;F;4;4;reputation;0;18;18
18;M;4;4;reputation;3;17;17
17;F;4;2;course;0;17;18
18;F;2;2;course;0;9;0
18;M;1;2;home;8;10;11
18;M;4;4;other;5;12;14
17;M;1;1;other;4;12;14
18;F;2;2;course;4;8;10
18;F;2;2;course;0;11;13
18;F;4;2;reputation;0;5;0
18;F;1;1;course;2;9;10
19;F;1;1;other;0;5;0
17;F;4;2;course;0;18;18
17;F;2;1;reputation;5;11;12
18;F;1;1;course;2;8;11
18;F;1;2;course;0;11;12
19;F;1;1;course;0;8;0
18;F;2;2;home;5;14;15
17;M;4;3;home;4;10;11
18;F;3;3;course;0;10;10
17;F;4;4;other;2;12;12
17;F;3;2;reputation;0;15;15
18;M;1;1;home;2;14;14
18;F;1;1;course;0;19;18
18;F;1;2;course;0;16;15
18;F;3;3;other;6;13;13
17;F;4;4;course;4;15;15
17;F;1;2;course;0;13;13
18;M;1;3;course;0;8;9
18;M;4;4;other;0;15;16
17;F;1;1;reputation;0;8;9
18;F;2;3;course;0;10;10
18;F;4;4;other;0;7;0
18;M;1;2;other;3;9;10
17;F;2;2;home;8;10;12
17;F;1;2;course;4;7;9
18;F;4;4;reputation;0;15;17
18;F;1;1;home;4;10;12
19;F;1;1;course;4;7;9
18;F;4;4;course;1;13;14
18;F;3;3;home;1;16;16
17;F;3;1;reputation;10;8;9
18;M;4;4;home;4;17;19
18;M;2;1;other;0;7;0
17;M;2;3;home;4;14;16
19;M;1;1;other;0;5;0
18;M;4;2;home;0;7;0
18;F;2;2;other;0;14;15
17;F;4;3;other;0;6;11
18;F;4;4;reputation;4;7;10
19;F;2;3;course;4;10;10
18;F;3;1;course;4;15;16
18;F;1;1;course;6;11;9
17;M;3;1;course;6;10;10
18;M;3;2;course;4;10;11
